Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin
0,3,0,22.0,1,0,7.25,1.5298599386850755
1,1,1,38.0,1,0,71.2833,5.0
1,3,1,26.0,0,0,7.925,1.6335961520309308
1,1,1,35.0,1,0,53.1,5.0
0,3,0,35.0,0,0,8.05,1.8321979880242347
0,3,0,28.285214430988752,0,0,8.4583,1.8335940454572848
0,1,0,54.0,0,0,51.8625,3.0
0,3,0,2.0,3,1,21.075,0.9248917199464772
1,3,1,27.0,0,2,11.1333,1.5384995417238727
1,2,1,14.0,1,0,30.0708,2.971380615701596
1,3,1,4.0,1,1,16.7,1.0
1,1,1,58.0,0,0,26.55,5.0
0,3,0,20.0,0,0,8.05,1.8321979880242347
0,3,0,39.0,1,5,31.275,1.3468400689862419
0,3,1,14.0,0,0,7.8542,1.6333540730050675
1,2,1,55.0,0,0,16.0,3.222872495862687
0,3,0,2.0,4,1,29.125,0.652813548840224
1,2,0,35.21521185538957,0,0,13.0,3.410789346604258
0,3,1,31.0,1,0,18.0,1.368441851367801
1,3,1,25.0647198161322,0,0,7.225,1.6312027153345428
0,2,0,35.0,0,0,26.0,3.455238885251465
1,2,0,34.0,0,0,13.0,4.0
1,3,1,15.0,0,0,8.0292,1.6339524321791652
1,1,0,28.0,0,0,35.5,7.0
0,3,1,8.0,3,1,21.075,0.7267172833632429
1,3,1,38.0,1,5,31.3875,1.1490502918720704
0,3,0,28.307313831458718,0,0,7.225,1.829377151917777
0,1,0,19.0,3,2,263.0,5.0
1,3,1,25.052997260559792,0,0,7.8792,1.633439552887082
0,3,0,28.29529382186231,0,0,7.8958,1.8316707481119732
0,1,0,40.0,0,0,27.7208,5.022788978431522
1,1,1,32.788293880649675,1,0,146.5208,6.0
1,3,1,25.055312384650215,0,0,7.75,1.632997792856834
0,2,0,66.0,0,0,10.5,3.402241358402872
0,1,0,28.0,1,0,82.1708,4.909361468342992
0,1,0,42.0,1,0,52.0,4.806201611372442
1,3,0,28.307238572006863,0,0,7.2292,1.8293915125379554
0,3,0,21.0,0,0,8.05,1.8321979880242347
0,3,1,18.0,2,0,18.0,1.068839158253085
1,3,1,14.0,1,0,11.2417,1.3453339039032297
0,3,1,40.0,1,0,9.475,1.339293211601074
0,2,1,27.0,1,0,21.0,2.9403657791507434
0,3,0,28.29529382186231,0,0,7.8958,1.8316707481119732
1,2,1,3.0,1,2,41.5792,2.9046636681426667
1,3,1,19.0,0,0,7.8792,1.633439552887082
0,3,0,28.29253072484417,0,0,8.05,1.8321979880242347
0,3,0,24.355879210205636,1,0,15.5,1.5580682997496487
1,3,1,25.055312384650215,0,0,7.75,1.632997792856834
0,3,0,20.441999055428635,2,0,21.6792,1.2795934981125345
